htid,author,title,year,authgender,female_category,vertical
mdp.39015043787004,"Dowrick, Stephanie.",Tasting salt : | a novel / | $c: Stephanie Dowrick.,1997,f,high_female,258.478541824502
uiuo.ark:/13960/t2p562z5b,"Marryat, Florence,",The prey of the gods,1871,f,,258.4527552220958
nc01.ark:/13960/t7rn45d40,"Penny, F. E.",The unlucky mark,1909,m,,258.4438131313131
mdp.39015014846300,"Bergengruen, Werner,","The last captain of horse, | a portrait of chivalry.",1953,u,,258.44275232858655
uiuo.ark:/13960/t42r4598k,"Crommelin, May.",Dust before the wind,1894,f,high_female,258.4416211777209
uc1.32106013457244,"Métellus, Jean,","The Vortex family / | $c: translated from the French, with an introduction by Michael Richardson ; Jean Métellus",1995,f,,258.43686259966626
uc1.$b242654,"Mann, Leonard,",Andrea Caslin | [a novel],1959,m,high_female,258.42828615059324
uc1.l0079462065,"Sologub, Fydor,",The created legend,1916,u,mixed,258.40368893542137
njp.32101066122720,"Birmingham, George A.,",The search party,1909,m,,258.3901991300531
uc1.b4299596,"Ghose, Sudhindra Nath.",Cradle of the clouds; | $c: with illus. by Shrimati Arnakali E. Carlile.,1951,m,,258.38579347928214
mdp.39015063975216,"Tonge, Charlotte Mary,",Dynevor Terrace,1857,f,mixed,258.3832590363156
inu.39000001845168,"Ramdoyal, Ramesh Dutt,",Tales from Mauritius / | $c: by Ramesh Ramdoyal ; edited by Rodney Phillips ; cover design and illustrations by Nazal Rosunally.,1979,u,high_male,258.3782962231173
uc1.32106006598657,,"Arab stories, East and West / | $c: translated with an introd. by R. Y. Ebied and M. J. L. Young.",1977,u,,258.36216839677047
